"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"560","Kaedan Korczak","VGK","D","25","2001-01-29","Yorkton","SK","CAN","CAN","75","202","2019","VGK","2","10","41"
"923","Kai Uchacz","VGK","C","22","2003-06-24","","","CAN","","74","209","-","-","-","-","-"
"632","Kaiden Guhle","MTL","D","24","2002-01-18","Edmonton","AB","CAN","CAN","74","205","2020","MTL","1","16","16"
"425","Kailer Yamamoto","UTA","R","27","1998-09-29","Spokane","WA","USA","USA","68","153","2017","EDM","1","22","22"
"260","Kasperi Kapanen","EDM","R","29","1996-07-23","Kuopio","","FIN","FIN","73","194","2014","PIT","1","22","22"
"389","Keaton Middleton","COL","D","28","1998-02-10","Edmonton","AB","CAN","CAN","78","240","2016","TOR","4","10","101"
"311","Keegan Kolesar","VGK","R","29","1997-04-08","Brandon","MB","CAN","CAN","74","217","2015","CBJ","3","8","69"
"823","Kenny Connors","L.A","C","23","2003-03-10","Glen Mills","","USA","","73","199","2022","L.A","4","6","103"
"704","Kent Johnson","CBJ","C","23","2002-10-18","Port Moody","BC","CAN","CAN","72","175","2021","CBJ","1","5","5"
"512","Kevin Bahl","CGY","D","25","2000-06-27","New Westminster","BC","CAN","CAN","78","230","-","-","-","-","-"
"252","Kevin Fiala","L.A","L","29","1996-07-22","St. Gallen","","CHE","CHE","70","204","2014","NSH","1","11","11"
"98","Kevin Gravel","NSH","D","34","1992-03-06","Kingsford","MI","USA","USA","76","205","2010","L.A","5","28","148"
"83","Kevin Hayes","PIT","R","34","1992-05-08","Dorchester","MA","USA","USA","77","216","2010","CHI","1","24","24"
"785","Kevin Korchinski","CHI","D","21","2004-06-21","Saskatoon","SK","CAN","CAN","73","185","2022","CHI","1","7","7"
"363","Kevin Rooney","UTA","C","33","1993-05-21","Canton","MA","USA","USA","74","190","-","-","-","-","-"
"342","Kevin Stenlund","UTA","C","29","1996-09-20","Huddinge","","SWE","SWE","77","215","2015","CBJ","2","28","58"
"485","Kiefer Sherwood","S.J, VAN","L","31","1995-03-31","Columbus","OH","USA","USA","72","194","-","-","-","-","-"
"557","Kirby Dach","MTL","C","25","2001-01-21","Fort Saskatchewan","AB","CAN","CAN","76","212","2019","CHI","1","3","3"
"349","Kirill Kaprizov","MIN","L","29","1997-04-26","Novokuznetsk","","RUS","RUS","70","202","2015","MIN","5","14","135"
"786","Kirill Kudryavtsev","VAN","D","22","2004-02-05","","","RUS","","71","200","2022","VAN","7","15","208"
"523","Kirill Marchenko","CBJ","R","25","2000-07-21","Barnaul","","RUS","RUS","75","197","2018","CBJ","2","18","49"
"905","Konsta Helenius","BUF","C","20","2006-05-11","","","FIN","","71","180","2024","BUF","1","14","14"
"7","Kris Letang","PIT","D","39","1987-04-24","Montreal","QC","CAN","CAN","72","201","2005","PIT","3","1","62"
"187","Kurtis MacDermid","OTT","L","32","1994-03-25","Sauble Beach","ON","CAN","CAN","77","233","-","-","-","-","-"
"330","Kyle Capobianco","DAL","D","28","1997-08-13","Mississauga","ON","CAN","CAN","74","201","2015","ARI","3","2","63"
"297","Kyle Connor","WPG","L","29","1996-12-09","Shelby Twp.","MI","USA","USA","74","179","2015","WPG","1","17","17"
"550","Kyle MacLean","NYI","C","27","1999-04-29","","","USA","","73","190","-","-","-","-","-"
"40","Kyle Palmieri","NYI","C","35","1991-02-01","Smithtown","NY","USA","USA","71","198","2009","ANA","1","26","26"
"672","Landon Slaggert","CHI","L","23","2002-06-25","","","USA","","72","180","2020","CHI","3","17","79"
"780","Lane Hutson","MTL","D","22","2004-02-14","","","USA","","69","158","2022","MTL","2","30","62"
"357","Lane Pederson","PHI","C","28","1997-08-04","Saskatoon","SK","CAN","CAN","72","192","-","-","-","-","-"
"25","Lars Eller","OTT","C","37","1989-05-08","Rodovre","","DNK","DNK","74","205","2007","STL","1","13","13"
"583","Lassi Thomson","OTT","D","25","2000-09-24","Tampere","","FIN","FIN","72","190","2019","OTT","1","19","19"
"329","Lawson Crouse","UTA","L","28","1997-06-23","Mt. Brydges","ON","CAN","CAN","76","215","2015","FLA","1","11","11"
"862","Lenni Hameenaho","N.J","R","21","2004-11-07","","","FIN","","72","173","2023","N.J","2","26","58"
"855","Leo Carlsson","ANA","C","21","2004-12-26","","","SWE","","75","194","2023","ANA","1","2","2"
"247","Leon Draisaitl","EDM","C","30","1995-10-27","Cologne","","DEU","DEU","74","208","2014","EDM","1","3","3"
"510","Liam Foudy","NYI","C","26","2000-02-04","Toronto","ON","CAN","CAN","74","188","2018","CBJ","1","18","18"
"186","Liam O'Brien","UTA","C","31","1994-07-29","Halifax","NS","CAN","CAN","73","213","-","-","-","-","-"
"800","Liam Ohgren","MIN, VAN","L","22","2004-01-28","","","SWE","","72","187","2022","MIN","1","19","19"
"767","Lian Bichsel","DAL","D","22","2004-05-18","","","SUI","","78","233","2022","DAL","1","18","18"
"532","Linus Karlsson","VAN","C","26","1999-11-16","Eksjö","","SWE","SWE","73","178","2018","S.J","3","25","87"
"769","Logan Cooley","UTA","C","22","2004-05-04","Pittsburgh","PA","USA","USA","70","174","-","-","-","-","-"
"725","Logan Mailloux","STL","D","23","2003-04-15","","","CAN","","75","220","2021","MTL","1","31","31"
"548","Logan O'Connor","COL","R","29","1996-08-14","Missouri City","TX","USA","USA","72","175","-","-","-","-","-"
"716","Logan Stankoven","CAR","C","23","2003-02-26","Kamloops","BC","CAN","CAN","67","170","2021","DAL","2","15","47"
"386","Logan Stanley","BUF, WPG","D","28","1998-05-26","Waterloo","ON","CAN","CAN","79","242","2016","WPG","1","18","18"
"620","Louis Crevier","CHI","D","25","2001-05-04","Quebec City","QC","CAN","CAN","72","196","2020","CHI","7","2","188"
"854","Luca Cagnoni","S.J","D","21","2004-12-21","","","CAN","","69","180","2023","S.J","4","27","123"
"770","Luca Del Bel Belluz","CBJ","C","22","2003-11-10","","","CAN","","73","184","2022","CBJ","2","12","44"
"870","Luca Pinelli","CBJ","C","21","2005-04-05","","","CAN","","69","165","2023","CBJ","4","18","114"
"630","Lucas Raymond","DET","L","24","2002-03-28","Gothenburg","","SWE","SWE","71","176","2020","DET","1","4","4"
"832","Ludvig Jansson","FLA","D","22","2003-12-27","","","SWE","","72","176","2022","FLA","4","28","125"
"650","Lukas Reichel","BOS, CHI, VAN","L","24","2002-05-17","Nürnberg","","DEU","DEU","72","170","2020","CHI","1","17","17"
"660","Luke Evangelista","NSH","R","24","2002-02-21","Toronto","ON","CAN","CAN","72","183","2020","NSH","2","11","42"
"142","Luke Glendening","N.J, PHI","C","37","1989-04-28","Grand Rapids","MI","USA","USA","71","190","-","-","-","-","-"
"933","Luke Haymes","TOR","C","22","2003-07-28","Ottawa","","CAN","","73","192","-","-","-","-","-"
"712","Luke Hughes","N.J","D","22","2003-09-09","Manchester","NH","USA","USA","74","184","2021","N.J","1","4","4"
"366","Luke Kunin","FLA","C","28","1997-12-04","Chesterfield","MO","USA","USA","72","197","2016","MIN","1","15","15"
"29","Luke Schenn","BUF, WPG","D","36","1989-11-02","Saskatoon","SK","CAN","CAN","74","225","2008","TOR","1","5","5"
"168","Mackenzie MacEachern","VAN","L","32","1994-03-09","Bloomfield Hills","MI","USA","USA","74","193","2012","STL","3","6","67"
"191","MacKenzie Weegar","CGY, UTA","D","32","1994-01-07","Ottawa","ON","CAN","CAN","72","206","2013","FLA","7","25","206"
"719","Mackie Samoskevich","FLA","R","23","2002-11-15","Newtown","CT","USA","USA","71","191","2021","FLA","1","24","24"
"908","Macklin Celebrini","S.J","C","19","2006-06-13","","","CAN","","72","190","2024","S.J","1","1","1"
"676","Marat Khusnutdinov","BOS","C","23","2002-07-17","","","RUS","","71","176","2020","MIN","2","6","37"
"815","Marc Gatcomb","NYI","C","26","1999-07-22","","","USA","","74","195","-","-","-","-","-"
"763","Marc McLaughlin","N.J","C","26","1999-07-26","North Billerica","MA","USA","USA","72","203","-","-","-","-","-"
"783","Marco Kasper","DET","C","22","2004-04-08","Innsbruck","","AUT","AUT","73","183","2022","DET","1","8","8"
"631","Marco Rossi","MIN, VAN","C","24","2001-09-23","Feldkirch","","AUT","AUT","69","182","2020","MIN","1","9","9"
"57","Marcus Foligno","MIN","L","34","1991-08-10","Buffalo","NY","USA","CAN","75","226","2009","BUF","4","13","104"
"39","Marcus Johansson","MIN","L","35","1990-10-06","Landskrona","","SWE","SWE","73","203","2009","WSH","1","24","24"
"265","Marcus Pettersson","VAN","D","30","1996-05-08","Skellefteå","","SWE","SWE","75","177","2014","ANA","2","8","38"
"827","Marek Alscher","FLA","D","22","2004-04-07","","","CZE","","75","206","2022","FLA","3","28","93"
"429","Mario Ferraro","S.J","D","27","1998-09-17","Toronto","ON","CAN","CAN","72","209","2017","S.J","2","18","49"
"151","Mark Jankowski","CAR","L","31","1994-09-13","Hamilton","ON","CAN","CAN","76","212","2012","CGY","1","21","21"
"479","Mark Kastelic","BOS","C","27","1999-03-11","Phoenix","AZ","USA","","75","233","2019","OTT","5","1","125"
"127","Mark Scheifele","WPG","C","33","1993-03-15","Kitchener","ON","CAN","CAN","75","198","2011","WPG","1","7","7"
"100","Mark Stone","VGK","R","34","1992-05-13","Winnipeg","MB","CAN","CAN","75","217","2010","OTT","6","28","178"
"814","Marshall Rifai","TOR","D","28","1998-03-16","","","CAN","","72","185","-","-","-","-","-"
"581","Marshall Warren","NYI","D","25","2001-04-20","","","USA","","71","195","2019","MIN","6","11","166"
"487","Martin Fehérváry","WSH","D","26","1999-10-06","Bratislava","","SVK","SVK","74","199","2018","WSH","2","15","46"
"451","Martin Necas","COL","C","27","1999-01-15","Nove Mesto na Morave","","CZE","CZE","74","189","2017","CAR","1","12","12"
"533","Martin Pospisil","CGY","C","26","1999-11-19","Zvolen","","SVK","SVK","74","173","2018","CGY","4","12","105"
"354","Mason Appleton","DET","C","30","1996-01-15","Green Bay","WI","USA","USA","75","197","2015","WPG","6","17","168"
"202","Mason Geertsen","BUF","L","31","1995-04-19","Drayton Valley","AB","CAN","CAN","76","227","2013","COL","4","2","93"
"694","Mason Lohrei","BOS","D","25","2001-01-17","","","USA","","77","211","2020","BOS","2","27","58"
"359","Mason Marchment","CBJ, SEA","L","30","1995-06-18","Uxbridge","ON","CAN","","76","210","-","-","-","-","-"
"729","Mason McTavish","ANA","C","23","2003-01-30","Zurich","","CHE","CHE","72","213","2021","ANA","1","3","3"
"317","Mathew Barzal","NYI","C","29","1997-05-26","Coquitlam","BC","CAN","CAN","73","190","2015","NYI","1","16","16"
"146","Mathew Dumba","PIT","D","31","1994-07-25","Regina","SK","CAN","CAN","72","181","2012","MIN","1","7","7"
"328","Mathieu Joseph","L.A, STL","R","29","1997-02-09","Laval","QC","CAN","CAN","73","187","2015","T.B","4","29","120"
"417","Mathieu Olivier","CBJ","R","29","1997-02-11","Biloxi","MS","USA","USA","73","217","-","-","-","-","-"
"609","Matias Maccelli","TOR","L","25","2000-10-14","Turku","","FIN","FIN","71","176","2019","ARI","4","5","98"
"71","Mats Zuccarello","MIN","R","38","1987-09-01","Oslo","","NOR","NOR","68","181","-","-","-","-","-"
"573","Matt Boldy","MIN","L","25","2001-04-05","Milford","MA","USA","USA","74","201","2019","MIN","1","12","12"
"711","Matt Coronato","CGY","R","23","2002-11-14","Greenlawn","NY","USA","USA","70","183","2021","CGY","1","13","13"
"44","Matt Duchene","DAL","C","35","1991-01-16","Haliburton","ON","CAN","CAN","71","195","2009","COL","1","3","3"
"162","Matt Grzelcyk","CHI","D","32","1994-01-05","Charlestown","MA","USA","USA","70","176","2012","BOS","3","24","85"
"700","Matt Kiersted","MIN","D","28","1998-04-14","ELK RIVER","MN","USA","USA","72","181","-","-","-","-","-"
"415","Matt Luff","STL","R","29","1997-05-05","Oakville","ON","CAN","CAN","74","196","-","-","-","-","-"
"687","Matt Rempe","NYR","C","23","2002-06-29","Calgary","AB","CAN","CAN","80","240","2020","NYR","6","10","165"
"356","Matt Roy","WSH","D","31","1995-03-01","Detroit","MI","USA","USA","73","205","2015","L.A","7","13","194"
"806","Matt Savoie","EDM","C","22","2004-01-01","St. Albert","AB","CAN","CAN","69","179","2022","BUF","1","9","9"
"180","Matthew Benning","TOR","D","32","1994-05-25","Edmonton","AB","CAN","CAN","73","203","2012","BOS","6","24","175"
"695","Matthew Kessel","STL","D","25","2000-06-23","Phoenix","AZ","USA","USA","74","205","2020","STL","5","26","150"
"721","Matthew Knies","TOR","L","23","2002-10-17","Phoenix","AZ","USA","USA","74","210","2021","TOR","2","25","57"
"803","Matthew Poitras","BOS","C","22","2004-03-10","Ajax","ON","CAN","CAN","71","176","2022","BOS","2","22","54"
"559","Matthew Robertson","NYR","D","25","2001-03-09","Edmonton","AB","CAN","CAN","75","211","2019","NYR","2","18","49"
"924","Matthew Schaefer","NYI","D","18","2007-09-05","","","CAN","","74","183","2025","NYI","1","1","1"
"365","Matthew Tkachuk","FLA","L","28","1997-12-11","Scottsdale","AZ","USA","USA","74","201","2016","CGY","1","6","6"
"878","Matthew Wood","NSH","R","21","2005-02-06","","","CAN","","77","205","2023","NSH","1","15","15"
"56","Mattias Ekholm","EDM","D","36","1990-05-24","Borlange","","SWE","SWE","76","215","2009","NSH","4","11","102"
"198","Mattias Janmark","EDM","C","33","1992-12-08","Stockholm","","SWE","SWE","73","205","2013","DET","3","18","79"
"495","Mattias Samuelsson","BUF","D","26","2000-03-14","Philadelphia","PA","USA","USA","76","231","2018","BUF","2","1","32"
"706","Matty Beniers","SEA","C","23","2002-11-05","Hingham","MA","USA","USA","74","178","2021","SEA","1","2","2"
"913","Matvei Gridin","CGY","R","20","2006-03-01","","","RUS","","73","182","2024","CGY","1","28","28"
"889","Matvei Michkov","PHI","R","21","2004-12-09","","","RUS","","70","172","2023","PHI","1","7","7"
"610","Matěj  Blümel","BOS","R","26","2000-05-31","Tabor","","CZE","CZE","72","200","2019","EDM","4","7","100"
"789","Maveric Lamoureux","UTA","D","22","2004-01-13","","","CAN","","78","196","2022","ARI","1","29","29"
"659","Mavrik Bourque","DAL","C","24","2002-01-08","Plessisville","QC","CAN","CAN","70","185","2020","DAL","1","30","30"
"613","Max Crozier","T.B","D","26","2000-04-19","","","CAN","","73","197","2019","T.B","4","27","120"
"228","Max Domi","TOR","C","31","1995-03-02","Winnipeg","MB","CAN","CAN","70","194","2013","PHX","1","12","12"
"381","Max Jones","EDM","L","28","1998-02-17","Rochester","MI","USA","USA","75","216","2016","ANA","1","24","24"
"847","Max Sasson","VAN","C","25","2000-09-05","","","USA","","73","181","-","-","-","-","-"
"937","Max Shabanov","NYI","R","25","2000-10-07","","","RUS","","69","167","-","-","-","-","-"
"671","Maxim Groshev","T.B","D","24","2001-12-14","","","RUS","","74","198","2020","T.B","3","23","85"
"919","Maxim Tsyplakov","N.J, NYI","R","27","1998-09-19","","","RUS","","75","210","-","-","-","-","-"
"276","Michael Amadio","OTT","R","30","1996-05-13","Sault Ste. Marie","ON","CAN","CAN","73","204","2014","L.A","3","30","90"
"904","Michael Brandsegg-Nygård","DET","R","20","2005-10-05","","","NOR","","73","198","2024","DET","1","15","15"
"281","Michael Bunting","DAL, NSH","L","30","1995-09-17","Scarborough","ON","CAN","CAN","72","192","2014","ARI","4","27","117"
"499","Michael Callahan","BOS","D","26","1999-09-23","Franklin","MA","USA","USA","74","200","2018","ARI","5","18","142"
"412","Michael Carcone","UTA","L","30","1996-05-19","Ajax","ON","CAN","CAN","69","170","-","-","-","-","-"
"411","Michael Eyssimont","BOS","C","29","1996-09-09","Littleton","CO","USA","USA","72","180","2016","L.A","5","21","142"
"522","Michael Kesselring","BUF","D","26","2000-01-13","New Hampton","NH","USA","USA","76","190","2018","EDM","6","9","164"
"208","Michael McCarron","MIN, NSH","C","31","1995-03-07","Grosse Pointe","MI","USA","USA","78","232","2013","MTL","1","25","25"
"929","Michael Misa","S.J","C","19","2007-02-16","","","CAN","","73","185","2025","S.J","1","2","2"
"408","Michael Pezzetta","TOR","L","28","1998-03-13","Toronto","ON","CAN","CAN","73","210","2016","MTL","6","9","160"
"432","Michael Rasmussen","DET","C","27","1999-04-17","Vancouver","BC","CAN","CAN","78","211","2017","DET","1","9","9"
"126","Mika Zibanejad","NYR","C","33","1993-04-18","Huddinge","","SWE","SWE","74","202","2011","OTT","1","6","6"
"23","Mikael Backlund","CGY","C","37","1989-03-17","Vasteras","","SWE","SWE","72","206","2007","CGY","1","24","24"
"93","Mikael Granlund","ANA","C","34","1992-02-26","Oulu","","FIN","FIN","70","185","2010","MIN","1","9","9"
"686","Mikael Pyyhtia","CBJ","L","24","2001-12-17","Turku","","FIN","FIN","72","166","2020","CBJ","4","21","114"
"644","Mike Benning","FLA","D","24","2002-01-05","Edmonton","AB","CAN","CAN","69","177","2020","FLA","4","2","95"
"153","Mike Matheson","MTL","D","32","1994-02-27","Pointe-Claire","QC","CAN","CAN","74","193","2012","FLA","1","23","23"
"113","Mike Reilly","CAR","D","32","1993-07-13","Chicago","IL","USA","USA","73","196","2011","CBJ","4","7","98"
"434","Mikey Anderson","L.A","D","27","1999-05-25","Fridley","MN","USA","USA","72","195","2017","L.A","4","10","103"
"398","Mikhail Sergachev","UTA","D","27","1998-06-25","Nizhnekamsk","","RUS","RUS","73","217","2016","MTL","1","9","9"
"307","Mikko Rantanen","DAL","R","29","1996-10-29","Nousiainen","","FIN","FIN","76","215","2015","COL","1","10","10"
"917","Mikulas Hovorka","FLA","D","24","2001-07-01","","","CZE","","78","229","-","-","-","-","-"
"203","Miles Wood","CBJ","L","30","1995-09-13","Buffalo","NY","USA","USA","74","195","2013","N.J","4","9","100"
"450","Miro Heiskanen","DAL","D","26","1999-07-18","Espoo","","FIN","FIN","73","195","2017","DAL","1","3","3"
"331","Mitch Marner","VGK","R","29","1997-05-05","Markham","ON","CAN","CAN","72","181","2015","TOR","1","4","4"
"625","Mitchell Chaffee","T.B","R","28","1998-01-26","Rockford","MI","USA","USA","73","201","-","-","-","-","-"
"475","Morgan Barron","WPG","C","27","1998-12-02","Halifax","NS","CAN","CAN","76","220","2017","NYR","6","19","174"
"448","Morgan Frost","CGY","C","27","1999-05-14","Aurora","ON","CAN","CAN","71","170","2017","PHI","1","27","27"
"431","Morgan Geekie","BOS","C","27","1998-07-20","Strathclair","MB","CAN","CAN","75","200","2017","CAR","3","5","67"
"144","Morgan Rielly","TOR","D","32","1994-03-09","Vancouver","BC","CAN","CAN","73","222","2012","TOR","1","5","5"
"567","Moritz Seider","DET","D","25","2001-04-06","Zell","","DEU","DEU","76","204","2019","DET","1","6","6"
"857","Nate Danielson","DET","C","21","2004-09-27","","","CAN","","74","185","2023","DET","1","9","9"
"189","Nate Schmidt","UTA","D","34","1991-07-16","St. Cloud","MN","USA","USA","72","195","-","-","-","-","-"
"399","Nathan Bastian","DAL","R","28","1997-12-06","Kitchener","ON","CAN","CAN","76","205","2016","N.J","2","11","41"
"773","Nathan Gaucher","ANA","C","22","2003-11-06","Chambly","QC","CAN","CAN","75","208","2022","ANA","1","22","22"
"591","Nathan Légaré","N.J","R","25","2001-01-11","Montreal","QC","CAN","CAN","72","205","2019","PIT","3","12","74"
"219","Nathan MacKinnon","COL","C","30","1995-09-01","Halifax","NS","CAN","CAN","72","200","2013","COL","1","1","1"
"237","Nathan Walker","STL","L","32","1994-02-07","Cardiff","","GBR","AUS","69","187","2014","WSH","3","29","89"
"48","Nazem Kadri","CGY, COL","C","35","1990-10-06","London","ON","CAN","CAN","72","185","2009","TOR","1","7","7"
"464","Neal Pionk","WPG","D","30","1995-07-29","Hermantown","MN","USA","USA","72","185","-","-","-","-","-"
"65","Nic Dowd","VGK, WSH","C","36","1990-05-27","Huntsville","AL","USA","USA","73","193","2009","L.A","7","17","198"
"587","Nicholas Robertson","TOR","L","24","2001-09-11","Pasadena","CA","USA","USA","69","183","2019","TOR","2","22","53"
"81","Nick Bjugstad","N.J, STL","C","33","1992-07-17","Minneapolis","MN","USA","USA","78","209","2010","FLA","1","19","19"
"816","Nick Blankenburg","COL, NSH","D","28","1998-05-12","WASHINGTON","MI","USA","USA","69","177","-","-","-","-","-"
"110","Nick Cousins","OTT","C","32","1993-07-20","Belleville","ON","CAN","CAN","71","192","2011","PHI","3","7","68"
"461","Nick DeSimone","UTA","D","31","1994-11-21","East Amherst","NY","USA","USA","74","185","-","-","-","-","-"
"10","Nick Foligno","CHI, MIN","L","38","1987-10-31","Buffalo","NY","USA","USA","72","210","2006","OTT","1","28","28"
"64","Nick Jensen","OTT","D","35","1990-09-21","St. Paul","MN","USA","USA","73","205","2009","DET","5","29","150"
"864","Nick Lardis","CHI","L","20","2005-07-08","","","CAN","","71","165","2023","CHI","3","3","67"
"50","Nick Leddy","S.J","D","35","1991-03-20","Eden Prairie","MN","USA","USA","72","205","2009","MIN","1","16","16"
"204","Nick Paul","T.B","L","31","1995-03-20","Mississauga","ON","CAN","CAN","75","223","2013","DAL","4","10","101"
"472","Nick Perbix","NSH","D","27","1998-06-15","Minneapolis","MN","USA","USA","74","191","2017","T.B","6","14","169"
"258","Nick Schmaltz","UTA","C","30","1996-02-23","Madison","WI","USA","USA","72","181","2014","CHI","1","20","20"
"105","Nick Seeler","PHI","D","33","1993-06-03","Eden Prairie","MN","USA","USA","74","201","2011","MIN","5","10","131"
"444","Nick Suzuki","MTL","C","26","1999-08-10","London","ON","CAN","CAN","71","208","2017","VGK","1","13","13"
"437","Nico Hischier","N.J","C","27","1999-01-04","Brig","","CHE","CHE","73","175","2017","N.J","1","1","1"
"551","Nico Sturm","MIN","C","31","1995-05-03","Augsburg","","DEU","DEU","75","209","-","-","-","-","-"
"267","Nicolas Aube-Kubel","MIN","R","30","1996-05-10","Slave Lake","AB","CAN","CAN","72","207","2014","PHI","2","18","48"
"59","Nicolas Deslauriers","CAR, PHI","L","35","1991-02-22","LaSalle","QC","CAN","CAN","73","220","2009","L.A","3","23","84"
"426","Nicolas Hague","NSH","D","27","1998-12-05","Kitchener","ON","CAN","CAN","78","230","2017","VGK","2","3","34"
"324","Nicolas Roy","COL, TOR","C","29","1997-02-05","Amos","QC","CAN","CAN","76","202","2015","CAR","4","5","96"
"741","Nikita Chibrikov","WPG","R","23","2003-02-16","","","RUS","","70","170","2021","WPG","2","18","50"
"835","Nikita Grebenkin","PHI","R","23","2003-05-02","","","RUS","","74","195","2022","TOR","5","6","135"
"120","Nikita Kucherov","T.B","R","32","1993-06-17","Maykop","","RUS","RUS","71","181","2011","T.B","2","28","58"
"618","Nikita Nesterenko","ANA","C","24","2001-09-10","Brooklyn","NY","USA","USA","74","183","2019","MIN","6","17","172"
"232","Nikita Zadorov","BOS","D","31","1995-04-16","Moscow","","RUS","RUS","78","248","2013","BUF","1","16","16"
"348","Niko Mikkola","FLA","D","30","1996-04-27","Finland","","FIN","FIN","76","209","2015","STL","5","6","127"
"251","Nikolaj Ehlers","CAR","L","30","1996-02-14","Aalborg","","DNK","DNK","72","169","2014","WPG","1","9","9"
"886","Nikolas Matinpalo","OTT","D","27","1998-10-05","Espoo","","Fin","","75","207","-","-","-","-","-"
"693","Nils Aman","VAN","C","26","2000-02-07","Avesta","","SWE","SWE","74","179","2020","COL","6","12","167"
"565","Nils Hoglander","VAN","L","25","2000-12-20","BOCKTRäSK","","SWE","SWE","69","185","2019","VAN","2","9","40"
"519","Nils Lundkvist","DAL","D","25","2000-07-27","Pitea","","SWE","SWE","71","190","2018","NYR","1","28","28"
"94","Nino Niederreiter","WPG","R","33","1992-09-08","Chur","","CHE","CHE","74","218","2010","NYI","1","5","5"
"470","Noah Cates","PHI","L","27","1999-02-05","Stillwater","MN","USA","USA","73","165","2017","PHI","5","13","137"
"513","Noah Dobson","MTL","D","26","2000-01-07","Summerside","PE","CAN","CAN","76","194","2018","NYI","1","12","12"
"392","Noah Gregor","FLA","L","27","1998-07-28","Beaumont","AB","CAN","CAN","72","190","2016","S.J","4","20","111"
"295","Noah Hanifin","VGK","D","29","1997-01-25","Boston","MA","USA","USA","75","207","2015","CAR","1","5","5"
"321","Noah Juulsen","PHI","D","29","1997-04-02","Surrey","BC","CAN","CAN","74","201","2015","MTL","1","26","26"
"828","Noah Laba","NYR","C","22","2003-08-04","","","USA","","75","214","2022","NYR","4","14","111"
"801","Noah Ostlund","BUF","C","22","2004-03-11","","","SWE","","71","163","2022","BUF","1","16","16"
"553","Noah Philp","CAR, EDM","C","27","1998-08-31","","","CAN","","75","198","-","-","-","-","-"
"341","Noel Acciari","PIT","C","34","1991-12-01","Johnston","RI","USA","USA","70","209","-","-","-","-","-"
"555","Nolan Foote","FLA","L","25","2000-11-29","Denver","CO","USA","USA","75","196","2019","T.B","1","27","27"
"743","Olen Zellweger","ANA","D","22","2003-09-10","Calgary","AB","CAN","CAN","69","175","2021","ANA","2","2","34"
"201","Oliver Bjorkstrand","T.B","R","31","1995-04-10","Herning","","DNK","DNK","72","175","2013","CBJ","3","28","89"
"851","Oliver Bonk","PHI","D","21","2005-01-09","","","CAN","","74","180","2023","PHI","1","22","22"
"47","Oliver Ekman-Larsson","TOR","D","34","1991-07-17","Karlskrona","","SWE","SWE","74","200","2009","PHX","1","6","6"
"738","Oliver Kapanen","MTL","C","22","2003-07-29","","","SWE","","74","194","2021","MTL","2","32","64"
"867","Oliver Moore","CHI","C","21","2005-01-22","","","USA","","71","188","2023","CHI","1","19","19"
"471","Olle Lycksell","OTT","R","26","1999-08-24","Oskarshamn","","SWE","SWE","70","163","2017","PHI","6","13","168"
"152","Olli Määttä","CGY, UTA","D","31","1994-08-22","Jyväskylä","","FIN","FIN","74","207","2012","PIT","1","22","22"
"102","Ondrej Palat","N.J, NYI","L","35","1991-03-28","Frydek-Mistek","","CZE","CZE","72","194","2011","T.B","7","27","208"
"860","Oscar Fisker Molgaard","SEA","C","21","2005-02-18","","","DEN","","72","168","2023","SEA","2","20","52"
"506","Oskar Bäck","DAL","C","26","2000-03-12","Karlstad","","SWE","SWE","75","210","2018","DAL","3","13","75"
"164","Oskar Sundqvist","STL","C","32","1994-03-23","Boden","","SWE","SWE","75","220","2012","PIT","3","20","81"
"875","Otto Stenberg","STL","C","21","2005-05-29","","","SWE","","71","180","2023","STL","1","25","25"
"766","Owen Beck","MTL","C","22","2004-02-03","Peterborough","ON","CAN","CAN","71","190","2022","MTL","2","1","33"
"802","Owen Pickering","PIT","D","22","2004-01-27","St. Adolphe","MB","CAN","CAN","75","179","2022","PIT","1","21","21"
"709","Owen Power","BUF","D","23","2002-11-22","Mississauga","ON","CAN","CAN","78","218","2021","BUF","1","1","1"
"443","Owen Tippett","PHI","R","27","1999-02-16","Peterborough","ON","CAN","CAN","73","207","2017","FLA","1","10","10"
"642","Ozzy Wiesblatt","NSH","C","24","2002-03-09","Calgary","AB","CAN","CAN","70","183","2020","S.J","1","31","31"
"454","P.O Joseph","VAN","D","26","1999-07-01","Laval","QC","CAN","CAN","74","185","2017","ARI","1","23","23"
"846","Parker Ford","WPG","C","25","2000-07-20","","","USA","","69","181","-","-","-","-","-"
"482","Parker Kelly","COL","C","27","1999-05-14","Camrose","AB","CAN","CAN","72","190","-","-","-","-","-"
"319","Parker Wotherspoon","PIT","D","28","1997-08-24","Surrey","BC","CAN","CAN","73","190","2015","NYI","4","21","112"
"498","Patrick Giles","S.J","R","26","2000-01-03","Chevy Chase","MD","USA","USA","76","203","-","-","-","-","-"
"21","Patrick Kane","DET","R","37","1988-11-19","Buffalo","NY","USA","USA","70","177","2007","CHI","1","1","1"
"373","Patrik Laine","MTL","L","28","1998-04-19","Tampere","","FIN","FIN","77","205","2016","WPG","1","2","2"
"535","Paul Cotter","N.J","L","26","1999-11-16","Canton","MI","USA","USA","74","212","2018","VGK","4","22","115"
